アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
ラン,2026-04-03 05:59:08,false,"美浜区 ラン","11.05","680","00:51:30","156","171","4.3","193","200","4:40","3:26","16","23","1.11","7.0","7.8","221","4:39","322","0.0","319","451","9,914","-13","いいえ","00:00:14.8","12","--","--","--","--","--","--","--","--","00:51:19","00:51:55","1","14"
ラン,2026-04-01 06:06:29,false,"美浜区 ラン","8.03","497","00:43:59","136","161","3.1","189","210","5:29","3:07","17","22","0.96","7.8","7.4","238","5:29","277","0.0","272","484","8,308","-11","いいえ","00:00:25.5","11","--","--","--","--","--","--","--","--","00:43:55","00:44:20","2","11"
ラン,2026-03-31 06:05:52,false,"美浜区 ラン","8.11","505","00:39:06","156","176","4.0","189","200","4:49","3:51","22","23","1.09","7.3","7.9","226","4:47","333","0.0","321","464","7,380","-15","いいえ","00:00:33.3","9","--","--","--","--","--","--","--","--","00:38:54","00:39:40","2","11"
ラン,2026-03-30 06:13:01,false,"美浜区 ラン","7.19","467","00:43:51","133","152","2.7","185","196","6:06","3:46","13","18","0.88","8.4","7.4","248","6:04","251","0.0","249","417","8,100","-12","いいえ","00:01:08.3","8","--","--","--","--","--","--","--","--","00:43:39","00:44:05","1","10"
ラン,2026-03-29 07:16:32,false,"美浜区 ラン","0.93","55","00:06:57.1","109","127","0.5","163","181","7:30","5:27","1","2","0.78","9.7","7.6","274","7:37","202","0.0","201","305","1,162","-3","いいえ","00:06:57.1","1","--","--","--","--","--","--","--","--","00:06:52","00:23:51","2","9"
ラン,2026-03-28 06:20:45,false,"美浜区 ラン","28.23","1,791","02:29:55","149","174","5.0","186","196","5:19","4:17","32","34","1.01","7.8","7.8","238","5:18","289","0.0","283","373","27,786","-37","いいえ","00:01:24.8","29","--","--","--","--","--","--","--","--","02:29:42","02:34:58","-3","9"
ラン,2026-03-27 12:01:20,false,"美浜区 - Eペース走 流し","10.18","644","00:56:41","142","166","3.3","170","208","5:34","2:47","28","20","1.03","8.3","8.5","251","5:35","281","0.0","272","548","9,690","-12","いいえ","00:00:17.3","19","--","--","--","--","--","--","--","--","00:56:32","00:57:54","2","14"
ラン,2026-03-25 06:39:03,false,"美浜区 ラン","12.01","750","00:59:55","152","175","4.4","189","203","4:59","4:00","21","23","1.06","7.5","7.7","229","4:58","318","0.0","303","389","11,288","-17","いいえ","00:00:03.6","13","--","--","--","--","--","--","--","--","00:59:28","00:59:55","2","10"
ラン,2026-03-24 05:59:00,false,"美浜区 ラン","10.06","621","01:01:01","130","142","2.8","183","190","6:04","5:10","24","32","0.90","8.5","7.6","251","6:04","252","0.0","250","390","11,074","-14","いいえ","00:00:22.2","11","--","--","--","--","--","--","--","--","01:00:55","01:01:14","-3","10"
ラン,2026-03-22 15:36:20,false,"美浜区 ラン","30.01","1,931","02:35:37","156","171","5.0","183","194","5:11","4:21","37","42","1.05","7.8","8.2","240","5:10","300","0.0","294","387","28,298","-27","いいえ","00:00:04.1","31","--","--","--","--","--","--","--","--","02:35:22","02:35:48","2","14"
ラン,2026-03-21 07:14:43,false,"美浜区 ラン","6.07","389","00:39:13","128","163","2.5","180","219","6:27","2:48","22","27","0.85","8.9","7.5","257","6:25","256","0.0","242","553","7,036","-8","いいえ","00:00:21.1","15","--","--","--","--","--","--","--","--","00:39:02","00:39:28","1","12"
ラン,2026-03-20 06:51:59,false,"美浜区 - Mペース持続走 (10km)","15.12","956","01:18:29","149","170","4.6","183","191","5:11","4:18","19","29","1.04","7.8","8.1","239","5:12","302","0.0","294","396","14,322","-22","いいえ","00:00:45.0","16","--","--","--","--","--","--","--","--","01:18:22","01:18:29","-0","13"
ラン,2026-03-17 05:57:20,false,"美浜区 ラン","12.02","731","01:00:35","151","169","4.3","185","201","5:02","3:26","21","23","1.06","7.5","7.8","231","5:04","314","0.0","298","435","11,218","-15","いいえ","00:00:07.6","13","--","--","--","--","--","--","--","--","00:59:37","01:00:45","1","11"
ラン,2026-03-16 10:35:43,false,"美浜区 ラン","16.01","1,021","01:35:51","135","146","3.5","177","214","5:59","5:12","33","26","0.94","8.6","8.1","256","5:59","258","0.0","257","321","16,940","-20","いいえ","00:00:04.0","17","--","--","--","--","--","--","--","--","01:35:39","01:36:17","1","16"
ラン,2026-03-12 06:16:58,false,"美浜区 ラン","7.37","462","00:44:39","131","141","2.7","189","196","6:04","5:05","23","23","0.88","8.2","7.2","245","6:01","252","0.0","250","398","8,420","-11","いいえ","00:02:14.0","8","--","--","--","--","--","--","--","--","00:44:29","00:45:13","-1","9"
ラン,2026-03-11 06:09:33,false,"美浜区 ラン","10.06","628","01:02:22","130","140","2.8","179","186","6:12","4:54","17","22","0.90","8.7","7.8","256","6:11","248","0.0","246","380","11,138","-16","いいえ","00:00:23.6","11","--","--","--","--","--","--","--","--","01:02:11","01:02:30","-1","9"
